CMDLINE 24458
MEM 413.796875 1669842607.9477
MEM 413.796875 1669842608.0531
MEM 413.796875 1669842608.1557
MEM 413.796875 1669842608.2612
MEM 413.796875 1669842608.3627
MEM 413.796875 1669842608.4678
MEM 413.796875 1669842608.5693
MEM 413.796875 1669842608.6746
MEM 413.796875 1669842608.7800
MEM 413.796875 1669842608.8852
MEM 413.796875 1669842608.9901
MEM 413.796875 1669842609.0931
MEM 413.796875 1669842609.1983
MEM 413.796875 1669842609.3042
MEM 413.796875 1669842609.4070
MEM 413.796875 1669842609.5113
MEM 413.796875 1669842609.6169
MEM 413.796875 1669842609.7191
MEM 413.796875 1669842609.8247
MEM 413.796875 1669842609.9265
MEM 413.796875 1669842610.0319
MEM 413.796875 1669842610.1375
MEM 413.796875 1669842610.2433
MEM 413.796875 1669842610.3486
MEM 413.796875 1669842610.4531
MEM 413.796875 1669842610.5585
MEM 413.796875 1669842610.6640
MEM 413.796875 1669842610.7694
MEM 413.796875 1669842610.8749
MEM 413.796875 1669842610.9764
MEM 413.796875 1669842611.0813
MEM 413.796875 1669842611.1831
MEM 413.796875 1669842611.2856
MEM 413.796875 1669842611.3914
MEM 413.796875 1669842611.4930
MEM 413.796875 1669842611.5950
MEM 413.796875 1669842611.6958
MEM 413.796875 1669842611.7989
MEM 413.796875 1669842611.9029
MEM 413.796875 1669842612.0055
MEM 413.796875 1669842612.1089
MEM 413.796875 1669842612.2135
MEM 413.796875 1669842612.3178
MEM 413.796875 1669842612.4230
MEM 413.796875 1669842612.5286
MEM 413.949219 1669842612.6336
MEM 414.082031 1669842612.7389
MEM 414.082031 1669842612.8444
MEM 414.089844 1669842612.9452
MEM 414.089844 1669842613.0461
MEM 414.089844 1669842613.1521
MEM 414.089844 1669842613.2575
MEM 414.089844 1669842613.3629
MEM 414.089844 1669842613.4656
MEM 414.089844 1669842613.5712
MEM 414.207031 1669842613.6746
MEM 435.117188 1669842613.7800
MEM 435.117188 1669842613.8858
MEM 435.117188 1669842613.9870
MEM 435.125000 1669842614.0918
MEM 435.203125 1669842614.1973
MEM 435.203125 1669842614.3023
MEM 435.203125 1669842614.4048
MEM 435.238281 1669842614.5107
MEM 435.238281 1669842614.6155
MEM 435.238281 1669842614.7186
MEM 435.238281 1669842614.8239
MEM 435.277344 1669842614.9287
MEM 435.304688 1669842615.0301
MEM 436.425781 1669842615.1352
MEM 462.246094 1669842615.2404
MEM 462.253906 1669842615.3459
MEM 462.253906 1669842615.4513
MEM 462.265625 1669842615.5519
MEM 462.265625 1669842615.6570
MEM 462.273438 1669842615.7632
MEM 474.250000 1669842615.8687
MEM 475.011719 1669842615.9741
MEM 486.847656 1669842616.0793
MEM 486.867188 1669842616.1845
MEM 486.945312 1669842616.2897
MEM 487.281250 1669842616.3949
MEM 487.292969 1669842616.5004
MEM 475.484375 1669842616.6012
MEM 475.484375 1669842616.7068
MEM 475.496094 1669842616.8076
MEM 475.519531 1669842616.9096
MEM 475.546875 1669842617.0121
MEM 475.566406 1669842617.1174
MEM 475.589844 1669842617.2231
MEM 475.605469 1669842617.3268
MEM 475.621094 1669842617.4293
MEM 475.675781 1669842617.5307
MEM 477.308594 1669842617.6348
MEM 513.457031 1669842617.7401
MEM 519.351562 1669842617.8445
MEM 511.367188 1669842617.9497
MEM 527.972656 1669842618.0524
MEM 549.265625 1669842618.1527
MEM 560.960938 1669842618.2579
MEM 574.472656 1669842618.3612
MEM 585.636719 1669842618.4664
MEM 589.671875 1669842618.5699
MEM 597.785156 1669842618.6705
MEM 616.750000 1669842618.7757
MEM 623.996094 1669842618.8782
MEM 623.996094 1669842618.9833
MEM 623.941406 1669842619.0861
MEM 624.820312 1669842619.1871
MEM 624.820312 1669842619.2903
MEM 627.480469 1669842619.3945
MEM 627.480469 1669842619.4987
MEM 627.492188 1669842619.6031
MEM 627.492188 1669842619.7086
MEM 627.492188 1669842619.8116
MEM 627.492188 1669842619.9124
MEM 627.492188 1669842620.0180
MEM 627.492188 1669842620.1235
MEM 627.492188 1669842620.2289
MEM 627.492188 1669842620.3344
MEM 627.492188 1669842620.4383
MEM 627.492188 1669842620.5424
MEM 627.492188 1669842620.6476
MEM 627.492188 1669842620.7532
MEM 627.492188 1669842620.8587
MEM 627.492188 1669842620.9643
MEM 627.492188 1669842621.0697
MEM 627.492188 1669842621.1722
MEM 627.492188 1669842621.2776
MEM 627.492188 1669842621.3831
MEM 627.492188 1669842621.4882
MEM 627.492188 1669842621.5934
MEM 627.492188 1669842621.6989
MEM 627.492188 1669842621.8015
MEM 627.492188 1669842621.9053
MEM 627.492188 1669842622.0082
MEM 627.492188 1669842622.1128
MEM 627.492188 1669842622.2182
MEM 627.492188 1669842622.3209
MEM 627.492188 1669842622.4273
MEM 627.492188 1669842622.5296
MEM 627.492188 1669842622.6319
MEM 627.492188 1669842622.7369
MEM 627.492188 1669842622.8432
MEM 627.492188 1669842622.9487
MEM 627.363281 1669842623.0504
MEM 627.363281 1669842623.1515
MEM 627.363281 1669842623.2570
MEM 627.363281 1669842623.3606
MEM 627.363281 1669842623.4659
MEM 627.363281 1669842623.5714
MEM 627.351562 1669842623.6767
MEM 627.351562 1669842623.7779
MEM 627.351562 1669842623.8821
MEM 627.351562 1669842623.9846
MEM 627.351562 1669842624.0876
MEM 627.351562 1669842624.1913
MEM 627.351562 1669842624.2954
MEM 627.535156 1669842624.3983
MEM 627.535156 1669842624.4996
MEM 627.535156 1669842624.6032
MEM 627.542969 1669842624.7081
MEM 627.542969 1669842624.8120
MEM 627.542969 1669842624.9164
MEM 627.585938 1669842625.0202
MEM 628.953125 1669842625.1229
MEM 629.960938 1669842625.2280
MEM 630.066406 1669842625.3332
MEM 630.066406 1669842625.4383
MEM 630.066406 1669842625.5442
MEM 630.066406 1669842625.6458
MEM 630.066406 1669842625.7512
MEM 630.066406 1669842625.8520
MEM 630.066406 1669842625.9577
MEM 630.066406 1669842626.0600
MEM 630.066406 1669842626.1631
MEM 630.070312 1669842626.2683
MEM 630.070312 1669842626.3738
MEM 630.109375 1669842626.4795
MEM 630.109375 1669842626.5821
MEM 630.113281 1669842626.6865
MEM 630.117188 1669842626.7920
MEM 630.117188 1669842626.8926
MEM 630.117188 1669842626.9973
MEM 630.117188 1669842627.1010
MEM 630.117188 1669842627.2032
MEM 630.117188 1669842627.3063
MEM 630.125000 1669842627.4114
MEM 630.125000 1669842627.5169
MEM 630.125000 1669842627.6220
MEM 630.125000 1669842627.7249
MEM 630.148438 1669842627.8300
MEM 630.156250 1669842627.9341
MEM 630.156250 1669842628.0393
MEM 630.156250 1669842628.1446
MEM 630.156250 1669842628.2480
MEM 630.156250 1669842628.3543
MEM 630.156250 1669842628.4585
MEM 630.765625 1669842628.5589
MEM 630.765625 1669842628.6640
MEM 632.046875 1669842628.7692
MEM 632.074219 1669842628.8744
MEM 632.074219 1669842628.9796
MEM 632.109375 1669842629.0847
MEM 633.035156 1669842629.1900
MEM 634.058594 1669842629.2943
MEM 634.078125 1669842629.3994
MEM 634.136719 1669842629.5045
MEM 634.148438 1669842629.6097
MEM 634.152344 1669842629.7151
MEM 634.152344 1669842629.8202
MEM 634.152344 1669842629.9271
MEM 643.429688 1669842630.0326
MEM 646.648438 1669842630.1377
MEM 715.921875 1669842630.2429
MEM 780.031250 1669842630.3480
MEM 780.906250 1669842630.4531
MEM 805.992188 1669842630.5583
MEM 805.996094 1669842630.6636
MEM 806.000000 1669842630.7687
MEM 806.000000 1669842630.8740
MEM 806.000000 1669842630.9792
MEM 806.000000 1669842631.0844
MEM 806.003906 1669842631.1895
MEM 806.003906 1669842631.2947
MEM 806.003906 1669842631.4003
MEM 806.003906 1669842631.5057
MEM 806.003906 1669842631.6064
MEM 806.003906 1669842631.7120
MEM 806.003906 1669842631.8164
MEM 806.003906 1669842631.9212
MEM 806.003906 1669842632.0268
MEM 806.003906 1669842632.1323
MEM 806.003906 1669842632.2377
MEM 806.015625 1669842632.3398
MEM 806.015625 1669842632.4454
MEM 806.015625 1669842632.5490
MEM 806.015625 1669842632.6496
MEM 806.015625 1669842632.7507
MEM 806.015625 1669842632.8546
MEM 806.015625 1669842632.9572
MEM 806.015625 1669842633.0594
MEM 806.035156 1669842633.1599
MEM 806.035156 1669842633.2621
MEM 806.035156 1669842633.3674
MEM 809.582031 1669842633.4727
MEM 812.433594 1669842633.5780
MEM 812.433594 1669842633.6833
MEM 812.433594 1669842633.7889
MEM 812.433594 1669842633.8927
MEM 812.433594 1669842633.9991
MEM 812.433594 1669842634.1038
MEM 812.433594 1669842634.2089
MEM 812.433594 1669842634.3115
MEM 812.441406 1669842634.4131
MEM 812.453125 1669842634.5159
MEM 812.468750 1669842634.6219
MEM 812.488281 1669842634.7241
MEM 812.519531 1669842634.8297
MEM 812.519531 1669842634.9354
MEM 812.527344 1669842635.0413
MEM 812.535156 1669842635.1456
MEM 812.597656 1669842635.2470
MEM 812.597656 1669842635.3526
MEM 812.597656 1669842635.4572
MEM 812.609375 1669842635.5603
MEM 812.617188 1669842635.6633
MEM 812.625000 1669842635.7676
MEM 812.636719 1669842635.8725
MEM 812.636719 1669842635.9740
MEM 812.636719 1669842636.0751
MEM 812.636719 1669842636.1803
MEM 812.636719 1669842636.2855
MEM 812.644531 1669842636.3913
MEM 812.675781 1669842636.4933
MEM 812.675781 1669842636.5988
MEM 812.675781 1669842636.7007
MEM 812.675781 1669842636.8038
MEM 812.683594 1669842636.9061
MEM 812.699219 1669842637.0094
MEM 812.726562 1669842637.1127
MEM 812.746094 1669842637.2151
MEM 812.765625 1669842637.3177
MEM 812.792969 1669842637.4209
MEM 812.800781 1669842637.5240
MEM 812.816406 1669842637.6249
MEM 812.839844 1669842637.7281
MEM 812.859375 1669842637.8330
MEM 812.882812 1669842637.9378
MEM 812.894531 1669842638.0437
MEM 812.894531 1669842638.1493
MEM 812.894531 1669842638.2515
MEM 812.910156 1669842638.3540
MEM 812.925781 1669842638.4574
MEM 812.937500 1669842638.5591
MEM 812.898438 1669842638.6620
MEM 812.898438 1669842638.7676
MEM 812.898438 1669842638.8697
MEM 812.886719 1669842638.9732
MEM 812.906250 1669842639.0783
MEM 812.925781 1669842639.1795
MEM 812.945312 1669842639.2832
MEM 812.968750 1669842639.3899
MEM 812.988281 1669842639.4949
MEM 813.003906 1669842639.5969
MEM 813.023438 1669842639.7006
MEM 813.031250 1669842639.8064
MEM 813.050781 1669842639.9093
MEM 813.050781 1669842640.0148
MEM 813.050781 1669842640.1187
MEM 813.054688 1669842640.2241
MEM 813.070312 1669842640.3265
MEM 813.089844 1669842640.4320
MEM 813.105469 1669842640.5356
MEM 813.117188 1669842640.6408
MEM 813.117188 1669842640.7463
MEM 813.125000 1669842640.8508
MEM 813.148438 1669842640.9537
MEM 813.171875 1669842641.0594
MEM 813.191406 1669842641.1601
MEM 813.203125 1669842641.2639
MEM 813.230469 1669842641.3677
MEM 813.234375 1669842641.4732
MEM 813.253906 1669842641.5782
MEM 813.273438 1669842641.6797
MEM 813.285156 1669842641.7853
MEM 813.304688 1669842641.8907
MEM 813.308594 1669842641.9950
MEM 813.324219 1669842642.0997
MEM 813.343750 1669842642.2051
MEM 813.367188 1669842642.3092
MEM 813.386719 1669842642.4149
MEM 813.390625 1669842642.5175
MEM 813.402344 1669842642.6212
MEM 813.414062 1669842642.7241
MEM 813.437500 1669842642.8277
MEM 813.449219 1669842642.9324
MEM 813.453125 1669842643.0344
MEM 813.457031 1669842643.1366
MEM 813.460938 1669842643.2417
MEM 813.464844 1669842643.3436
MEM 813.468750 1669842643.4450
MEM 813.468750 1669842643.5491
MEM 813.468750 1669842643.6536
MEM 813.445312 1669842643.7580
MEM 813.445312 1669842643.8591
MEM 813.445312 1669842643.9646
MEM 813.445312 1669842644.0678
MEM 813.445312 1669842644.1733
MEM 813.445312 1669842644.2759
MEM 813.445312 1669842644.3783
MEM 813.445312 1669842644.4840
MEM 813.445312 1669842644.5872
MEM 820.835938 1669842644.6924
MEM 820.835938 1669842644.7976
MEM 813.703125 1669842644.9028
MEM 813.703125 1669842645.0084
MEM 813.703125 1669842645.1138
MEM 813.703125 1669842645.2176
MEM 813.703125 1669842645.3230
MEM 813.703125 1669842645.4270
MEM 813.703125 1669842645.5324
MEM 813.703125 1669842645.6335
MEM 813.703125 1669842645.7376
MEM 813.703125 1669842645.8429
MEM 813.703125 1669842645.9482
MEM 813.703125 1669842646.0536
MEM 813.703125 1669842646.1554
MEM 813.703125 1669842646.2584
MEM 813.703125 1669842646.3638
MEM 813.703125 1669842646.4692
MEM 813.703125 1669842646.5741
MEM 813.703125 1669842646.6787
