v0.0.10Module: Backend.Experimentator.self_configuration | INFO | 2024-03-06 23:00:36 | Camera will be initialized
Module: Backend.DeviceAPI.BCamera | ERROR | 2024-03-06 23:00:36 | Camera not connected, failed connection process
Module: Backend.Experimentator.self_configuration | WARNING | 2024-03-06 23:00:36 | Camera was not found please check the connection
Module: Frontend.OnlineAnalysis.ui_py.online_analysis_widget | INFO | 2024-03-06 23:00:36 | Successfully connected all the appropiates button calls
Module: Frontend.OfflineAnalysis.ui_py.offline_analysis_widget | INFO | 2024-03-06 23:00:37 | init finished
Module: __main__ | INFO | 2024-03-06 23:00:37 | C:\Users\davee\Desktop\SP\Biophysical_Essentials\src
Module: __main__ | INFO | 2024-03-06 23:00:37 | Starting the Biophysical Essentials Program!
Module: database.DatabaseHandler.DuckDBInitalizer | INFO | 2024-03-06 23:00:37 | database path is C:\Users\davee\Desktop\SP\Biophysical_Essentials\src\database
Module: database.DatabaseHandler.data_db | INFO | 2024-03-06 23:00:37 | Database Manager Initialized
Module: database.DatabaseHandler.DuckDBInitalizer | INFO | 2024-03-06 23:00:37 | A new database will created. Created and Connected to new database: duck_db_analysis_database.db
Module: database.DatabaseHandler.DuckDBInitalizer | INFO | 2024-03-06 23:00:37 | connection successfull to offline_database
Module: database.DatabaseHandler.DuckDBInitalizer | INFO | 2024-03-06 23:00:37 | Started new Analysis for user admin at time 2024-03-06 23:00:37.953277
Module: database.DatabaseHandler.DuckDBInitalizer | INFO | 2024-03-06 23:00:37 | Analysis id for this analysis will be: 16
Module: database.DatabaseHandler.DuckDBInitalizer | INFO | 2024-03-06 23:00:37 | database path is None
Module: database.DatabaseHandler.data_db | INFO | 2024-03-06 23:00:37 | Database Manager Initialized
Module: database.DatabaseHandler.DuckDBInitalizer | INFO | 2024-03-06 23:00:37 | A new database will created. Created and Connected to new database: online_db
Module: database.DatabaseHandler.DuckDBInitalizer | INFO | 2024-03-06 23:00:37 | connection successfull to online_in_memory_database
Module: database.DatabaseHandler.DuckDBInitalizer | INFO | 2024-03-06 23:00:37 | create_table created all tables successfully
Module: database.DatabaseHandler.DuckDBInitalizer | INFO | 2024-03-06 23:00:37 | Started new Analysis for user admin at time 2024-03-06 23:00:37.978396
Module: database.DatabaseHandler.DuckDBInitalizer | INFO | 2024-03-06 23:00:37 | Analysis id for this analysis will be: 1
Module: Backend.OfflineAnalysis.ResultHandler.offline_analysis_result_visualizer | INFO | 2024-03-06 23:00:38 | Successfully initialized the Offline Analysis Result Visualizer
